Procs,mmap,read
1,54.7516652,58.8956266
2,28.4707772,30.587168
4,14.5650114,15.756905
8,7.592437,8.2563132
16,4.0978704,4.4778708
32,2.6292842,2.9754098
64,1.9307078,4.4382692
79,1.2620424,16.3557704
