Procs,mmap,read
1,547.9715958,598.3534048
2,282.8338362,299.617768
4,143.6427716,153.9105554
8,72.7964638,84.7800456
16,53.066077,55.209156
32,27.9158272,31.141572
64,17.124257399999998,31.0973674
96,14.13664,65.492198
