Procs,mmap,read
1,140.2773322,140.324244
2,71.171597,71.0385412
4,36.2423782,36.2545984
8,18.1660768,18.1912064
16,9.7885702,9.7283568
32,5.276986,5.2758812
64,3.0116128,3.0010938
96,2.3789456,2.3975922
