Procs,mmap,read
1,30.2608202,0.5920698
2,15.445694,0.7027428
4,7.7858466,1.1053362
8,4.0763064,1.1784134
16,2.1946068,1.2823136
32,1.5948876,1.019682
64,1.1039078,4.9075634
