Procs,mmap,read
1,278.0896918,278.265306
2,139.93562,139.9295226
4,71.7924336,71.72423859999999
8,36.3600938,36.3943142
16,19.0383504,19.0300746
32,9.946196,9.9472552
64,5.3341914,5.3255436
96,5.1266948,5.2052884
