Procs,mmap,read
1,271.3319858,299.1220856
2,137.2584684,153.9640778
4,70.8396472,76.5607274
8,39.076093,61.1762402
16,28.8218824,30.2687404
32,15.8816236,18.0435388
64,8.2684684,24.2319152
96,5.4578778,32.6961904
