Procs,mmap,read
1,1149.5537756,1188.6838685999999
2,580.020692,601.2357918
4,294.08500100000003,318.4665968
8,147.5126442,159.266734
16,76.7726198,83.4050256
32,40.9755044,45.3426596
64,21.1742532,56.4212238
96,16.4440068,123.7178126
