Procs,mmap,read
1,296.87898739999997,0.5752488
2,150.2063976,0.657544
4,75.9195358,1.0850444
8,39.1362582,1.1685536
16,20.187428,1.2550379999999999
32,13.7366216,1.8538218
64,5.726018,16.4502946
96,10.0161866,26.0006074
