Procs,mmap,read
1,115.1027536,115.146144
2,58.2477314,58.307781399999996
4,29.5002208,29.5004626
8,14.8776166,14.870741
16,7.9873514,8.0096522
32,4.3592504,4.3410212
64,2.5331098,2.5413288
96,2.0798774,2.0539936
